"Name","fake","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","GIN","aggregation_fn","batch_norm","batch_size","benchmark_idx","dataset","deepset","depth","dim0_out_dim","dim1","dim1_out_dim","dropout_p","dummy_var","early_topo","filtration_hidden","fold","folds","hidden_dim","legacy","lr","lr_patience","max_epochs","merged","min_lr","model","num_classes","num_coord_funs","num_coord_funs/Gaussian_transform","num_coord_funs/Line_transform","num_coord_funs/RationalHat_transform","num_coord_funs/Triangle_transform","num_coord_funs1","num_coord_funs1/Gaussian_transform","num_coord_funs1/Line_transform","num_coord_funs1/RationalHat_transform","num_coord_funs1/Triangle_transform","num_filtrations","num_node_features","paired","q_dim_set2set","residual","residual_and_bn","seed","set2set","set_out_dim","shallow_deepset","share_filtration_parameters","swap_bn_order","tanh_filtrations","task","train_eps","training_seed","use_node_attributes","best_val_acc","best_val_loss","epoch","lr-Adam","restored_test_acc","restored_test_loss","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","val_acc","val_acc_epoch","val_acc_step","val_loss","val_loss_epoch","val_loss_step","val_loss_step/epoch_0","validation_loss"
"LargerTopoGNN_Necklaces","true","hfr8esht","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:18:33.000Z","538","e6ybbprl","false","mean","true","32","","Necklaces","false","8","32","false","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","3308522066","true","","","199","0.000015625","0.9797979593276978","0.03589629754424095","0.9797979593276978","0.03589629754424095","1","1","0.000028635100534302182","0.000019557279301807284","0.9560439586639404","","","0.24439005553722384","","","",""
"LargerTopoGNN_Necklaces","true","h299a3f6","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:17:14.000Z","762","e6ybbprl","false","mean","true","32","","Necklaces","false","8","32","true","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","3829618833","true","","","199","0.0000078125","0.9898989796638488","0.020844224840402603","0.9898989796638488","0.01984625682234764","1","1","0.0000181950927071739","0.000009585021871316712","0.9780219793319702","","","0.26713794469833374","","","",""
"LargerTopoGNN_Necklaces","true","b8eei84b","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:10:49.000Z","539","e6ybbprl","false","mean","true","32","","Necklaces","false","7","32","false","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","3705579052","true","","","199","0.000015625","1","0.005319944582879543","1","0.005319937132298946","1","1","0.000023093038180377334","0.000011328450455039274","0.9670329689979552","","","0.33684560656547546","","","",""
"LargerTopoGNN_Necklaces","true","vjve6ctb","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:09:17.000Z","914","e6ybbprl","false","mean","true","32","","Necklaces","false","7","32","true","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","121359871","true","","","199","0.000015625","1","0.04215677827596664","1","0.04241248592734337","1","1","0.000024433626094833016","0.000014725816072314046","0.9670329689979552","","","0.33353957533836365","","","",""
"LargerTopoGNN_Necklaces","true","4zti258l","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:06:26.000Z","530","e6ybbprl","false","mean","true","32","","Necklaces","false","6","32","false","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","994350748","true","","","199","0.000015625","1","0.01206783391535282","1","0.01206778921186924","1","1","0.000026283156330464408","0.000005006740138924215","0.9450549483299256","","","0.3163374662399292","","","",""
"LargerTopoGNN_Necklaces","true","hfr8esht","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:03:39.000Z","887","e6ybbprl","false","mean","true","32","","Necklaces","false","6","32","true","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","654587251","true","","","199","0.000015625","0.9595959782600404","0.1208346039056778","0.9595959782600404","0.12305259704589844","1","1","0.00004549018194666132","0.000019007655282621272","0.9670329689979552","","","0.33060920238494873","","","",""
"LargerTopoGNN_Necklaces","true","vjve6ctb","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T18:00:08.000Z","543","e6ybbprl","false","mean","true","32","","Necklaces","false","5","32","false","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","1643545301","true","","","199","0.000015625","0.9696969985961914","0.06689238548278809","0.9696969985961914","0.06689231097698212","1","1","0.00001853136382123921","0.000018528282453189604","0.9560439586639404","","","0.4335848391056061","","","",""
"LargerTopoGNN_Necklaces","true","h299a3f6","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T17:56:12.000Z","763","e6ybbprl","false","mean","true","32","","Necklaces","false","5","32","true","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","4197758876","true","","","199","0.000015625","0.9494949579238892","0.14893999695777893","0.9494949579238892","0.15191414952278137","1","1","0.00004215490844217129","0.000014274844943429343","0.8901098966598511","","","0.6520375609397888","","","",""
"LargerTopoGNN_Necklaces","true","b8eei84b","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T17:53:43.000Z","495","e6ybbprl","false","mean","true","32","","Necklaces","false","4","32","false","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","4274850372","true","","","199","0.0000078125","0.868686854839325","0.3423697352409363","0.868686854839325","0.3423697352409363","1","1","0.00005089017577120103","0.00001207709556183545","0.8791208863258362","","","0.8335445523262024","","","",""
"LargerTopoGNN_Necklaces","true","4zti258l","finished","-","edebrouwer","LargerTopoGNN, Necklaces","2021-02-03T17:51:59.000Z","859","e6ybbprl","false","mean","true","32","","Necklaces","false","4","32","true","32","0","","false","24","","","146","","0.001","25","200","false","0.000001","LargerTopoGNN","2","3","","","","","","","","","","8","3","false","","true","true","42","","","false","true","false","false","Tasks.GRAPH_CLASSIFICATION","true","1024039","true","","","199","0.0000078125","0.6262626051902771","0.6660805940628052","0.6161616444587708","0.6647189855575562","1","1","0.0006176665774546564","0.0000246084437094396","0.7362637519836426","","","1.444546818733215","","","",""
